age,age_real,path
0,18,/opt/ml/input/ext_data/megaage_asian/train/1.jpg
1,30,/opt/ml/input/ext_data/megaage_asian/train/5.jpg
1,30,/opt/ml/input/ext_data/megaage_asian/train/7.jpg
0,25,/opt/ml/input/ext_data/megaage_asian/train/8.jpg
0,27,/opt/ml/input/ext_data/megaage_asian/train/9.jpg
1,55,/opt/ml/input/ext_data/megaage_asian/train/10.jpg
0,23,/opt/ml/input/ext_data/megaage_asian/train/11.jpg
1,49,/opt/ml/input/ext_data/megaage_asian/train/12.jpg
2,65,/opt/ml/input/ext_data/megaage_asian/train/13.jpg
1,34,/opt/ml/input/ext_data/megaage_asian/train/14.jpg
1,32,/opt/ml/input/ext_data/megaage_asian/train/16.jpg
1,36,/opt/ml/input/ext_data/megaage_asian/train/18.jpg
2,66,/opt/ml/input/ext_data/megaage_asian/train/19.jpg
0,28,/opt/ml/input/ext_data/megaage_asian/train/20.jpg
1,40,/opt/ml/input/ext_data/megaage_asian/train/21.jpg
0,19,/opt/ml/input/ext_data/megaage_asian/train/22.jpg
0,21,/opt/ml/input/ext_data/megaage_asian/train/25.jpg
1,36,/opt/ml/input/ext_data/megaage_asian/train/26.jpg
1,31,/opt/ml/input/ext_data/megaage_asian/train/28.jpg
1,33,/opt/ml/input/ext_data/megaage_asian/train/30.jpg
0,21,/opt/ml/input/ext_data/megaage_asian/train/32.jpg
0,26,/opt/ml/input/ext_data/megaage_asian/train/34.jpg
0,24,/opt/ml/input/ext_data/megaage_asian/train/37.jpg
0,21,/opt/ml/input/ext_data/megaage_asian/train/40.jpg
1,32,/opt/ml/input/ext_data/megaage_asian/train/41.jpg
0,24,/opt/ml/input/ext_data/megaage_asian/train/42.jpg
1,40,/opt/ml/input/ext_data/megaage_asian/train/45.jpg
0,28,/opt/ml/input/ext_data/megaage_asian/train/46.jpg
0,21,/opt/ml/input/ext_data/megaage_asian/train/47.jpg
1,40,/opt/ml/input/ext_data/megaage_asian/train/50.jpg
0,23,/opt/ml/input/ext_data/megaage_asian/train/51.jpg
1,31,/opt/ml/input/ext_data/megaage_asian/train/53.jpg
1,32,/opt/ml/input/ext_data/megaage_asian/train/54.jpg
0,22,/opt/ml/input/ext_data/megaage_asian/train/56.jpg
1,38,/opt/ml/input/ext_data/megaage_asian/train/57.jpg
0,21,/opt/ml/input/ext_data/megaage_asian/train/58.jpg
0,28,/opt/ml/input/ext_data/megaage_asian/train/59.jpg
1,31,/opt/ml/input/ext_data/megaage_asian/train/61.jpg
1,40,/opt/ml/input/ext_data/megaage_asian/train/62.jpg
0,25,/opt/ml/input/ext_data/megaage_asian/train/64.jpg
0,21,/opt/ml/input/ext_data/megaage_asian/train/65.jpg
0,23,/opt/ml/input/ext_data/megaage_asian/train/66.jpg
0,19,/opt/ml/input/ext_data/megaage_asian/train/67.jpg
0,29,/opt/ml/input/ext_data/megaage_asian/train/69.jpg
0,24,/opt/ml/input/ext_data/megaage_asian/train/71.jpg
1,40,/opt/ml/input/ext_data/megaage_asian/train/72.jpg
1,50,/opt/ml/input/ext_data/megaage_asian/train/73.jpg
1,41,/opt/ml/input/ext_data/megaage_asian/train/75.jpg
1,32,/opt/ml/input/ext_data/megaage_asian/train/76.jpg
1,37,/opt/ml/input/ext_data/megaage_asian/train/77.jpg
0,22,/opt/ml/input/ext_data/megaage_asian/train/78.jpg
0,23,/opt/ml/input/ext_data/megaage_asian/train/79.jpg
1,51,/opt/ml/input/ext_data/megaage_asian/train/83.jpg
0,18,/opt/ml/input/ext_data/megaage_asian/train/85.jpg
1,34,/opt/ml/input/ext_data/megaage_asian/train/86.jpg
1,32,/opt/ml/input/ext_data/megaage_asian/train/88.jpg
0,25,/opt/ml/input/ext_data/megaage_asian/train/89.jpg
1,31,/opt/ml/input/ext_data/megaage_asian/train/90.jpg
1,40,/opt/ml/input/ext_data/megaage_asian/train/93.jpg
1,30,/opt/ml/input/ext_data/megaage_asian/train/94.jpg
1,39,/opt/ml/input/ext_data/megaage_asian/train/95.jpg
2,69,/opt/ml/input/ext_data/megaage_asian/train/96.jpg
0,23,/opt/ml/input/ext_data/megaage_asian/train/99.jpg
1,31,/opt/ml/input/ext_data/megaage_asian/train/102.jpg
0,18,/opt/ml/input/ext_data/megaage_asian/train/103.jpg
0,27,/opt/ml/input/ext_data/megaage_asian/train/108.jpg
1,32,/opt/ml/input/ext_data/megaage_asian/train/109.jpg
1,33,/opt/ml/input/ext_data/megaage_asian/train/111.jpg
0,24,/opt/ml/input/ext_data/megaage_asian/train/112.jpg
1,48,/opt/ml/input/ext_data/megaage_asian/train/113.jpg
0,26,/opt/ml/input/ext_data/megaage_asian/train/114.jpg
0,20,/opt/ml/input/ext_data/megaage_asian/train/118.jpg
1,33,/opt/ml/input/ext_data/megaage_asian/train/121.jpg
0,23,/opt/ml/input/ext_data/megaage_asian/train/122.jpg
1,42,/opt/ml/input/ext_data/megaage_asian/train/126.jpg
0,29,/opt/ml/input/ext_data/megaage_asian/train/127.jpg
0,22,/opt/ml/input/ext_data/megaage_asian/train/129.jpg
1,44,/opt/ml/input/ext_data/megaage_asian/train/130.jpg
1,38,/opt/ml/input/ext_data/megaage_asian/train/131.jpg
2,65,/opt/ml/input/ext_data/megaage_asian/train/133.jpg
0,26,/opt/ml/input/ext_data/megaage_asian/train/135.jpg
0,23,/opt/ml/input/ext_data/megaage_asian/train/136.jpg
0,28,/opt/ml/input/ext_data/megaage_asian/train/138.jpg
0,23,/opt/ml/input/ext_data/megaage_asian/train/140.jpg
0,26,/opt/ml/input/ext_data/megaage_asian/train/142.jpg
0,27,/opt/ml/input/ext_data/megaage_asian/train/148.jpg
0,25,/opt/ml/input/ext_data/megaage_asian/train/150.jpg
0,29,/opt/ml/input/ext_data/megaage_asian/train/155.jpg
1,37,/opt/ml/input/ext_data/megaage_asian/train/158.jpg
1,32,/opt/ml/input/ext_data/megaage_asian/train/160.jpg
1,36,/opt/ml/input/ext_data/megaage_asian/train/162.jpg
1,31,/opt/ml/input/ext_data/megaage_asian/train/163.jpg
0,23,/opt/ml/input/ext_data/megaage_asian/train/164.jpg
0,24,/opt/ml/input/ext_data/megaage_asian/train/165.jpg
1,37,/opt/ml/input/ext_data/megaage_asian/train/166.jpg
0,18,/opt/ml/input/ext_data/megaage_asian/train/168.jpg
0,28,/opt/ml/input/ext_data/megaage_asian/train/169.jpg
1,39,/opt/ml/input/ext_data/megaage_asian/train/170.jpg
0,24,/opt/ml/input/ext_data/megaage_asian/train/175.jpg
2,65,/opt/ml/input/ext_data/megaage_asian/train/176.jpg
0,21,/opt/ml/input/ext_data/megaage_asian/train/178.jpg
0,24,/opt/ml/input/ext_data/megaage_asian/train/179.jpg
2,68,/opt/ml/input/ext_data/megaage_asian/train/180.jpg
0,21,/opt/ml/input/ext_data/megaage_asian/train/181.jpg
0,18,/opt/ml/input/ext_data/megaage_asian/train/183.jpg
0,25,/opt/ml/input/ext_data/megaage_asian/train/184.jpg
1,35,/opt/ml/input/ext_data/megaage_asian/train/185.jpg
0,22,/opt/ml/input/ext_data/megaage_asian/train/186.jpg
1,51,/opt/ml/input/ext_data/megaage_asian/train/192.jpg
0,23,/opt/ml/input/ext_data/megaage_asian/train/194.jpg
0,25,/opt/ml/input/ext_data/megaage_asian/train/195.jpg
0,27,/opt/ml/input/ext_data/megaage_asian/train/196.jpg
1,34,/opt/ml/input/ext_data/megaage_asian/train/197.jpg
1,37,/opt/ml/input/ext_data/megaage_asian/train/199.jpg
1,32,/opt/ml/input/ext_data/megaage_asian/train/202.jpg
1,31,/opt/ml/input/ext_data/megaage_asian/train/203.jpg
1,33,/opt/ml/input/ext_data/megaage_asian/train/204.jpg
0,21,/opt/ml/input/ext_data/megaage_asian/train/205.jpg
1,33,/opt/ml/input/ext_data/megaage_asian/train/206.jpg
0,22,/opt/ml/input/ext_data/megaage_asian/train/207.jpg
1,42,/opt/ml/input/ext_data/megaage_asian/train/208.jpg
0,28,/opt/ml/input/ext_data/megaage_asian/train/210.jpg
1,41,/opt/ml/input/ext_data/megaage_asian/train/211.jpg
0,23,/opt/ml/input/ext_data/megaage_asian/train/214.jpg
2,64,/opt/ml/input/ext_data/megaage_asian/train/216.jpg
0,29,/opt/ml/input/ext_data/megaage_asian/train/220.jpg
0,18,/opt/ml/input/ext_data/megaage_asian/train/225.jpg
0,22,/opt/ml/input/ext_data/megaage_asian/train/228.jpg
0,26,/opt/ml/input/ext_data/megaage_asian/train/229.jpg
1,34,/opt/ml/input/ext_data/megaage_asian/train/231.jpg
0,24,/opt/ml/input/ext_data/megaage_asian/train/232.jpg
0,28,/opt/ml/input/ext_data/megaage_asian/train/233.jpg
1,38,/opt/ml/input/ext_data/megaage_asian/train/234.jpg
1,55,/opt/ml/input/ext_data/megaage_asian/train/236.jpg
1,35,/opt/ml/input/ext_data/megaage_asian/train/237.jpg
1,34,/opt/ml/input/ext_data/megaage_asian/train/238.jpg
1,48,/opt/ml/input/ext_data/megaage_asian/train/239.jpg
0,18,/opt/ml/input/ext_data/megaage_asian/train/240.jpg
0,22,/opt/ml/input/ext_data/megaage_asian/train/241.jpg
1,30,/opt/ml/input/ext_data/megaage_asian/train/243.jpg
1,46,/opt/ml/input/ext_data/megaage_asian/train/246.jpg
1,58,/opt/ml/input/ext_data/megaage_asian/train/249.jpg
1,39,/opt/ml/input/ext_data/megaage_asian/train/250.jpg
0,22,/opt/ml/input/ext_data/megaage_asian/train/251.jpg
1,32,/opt/ml/input/ext_data/megaage_asian/train/253.jpg
0,18,/opt/ml/input/ext_data/megaage_asian/train/254.jpg
1,41,/opt/ml/input/ext_data/megaage_asian/train/255.jpg
2,64,/opt/ml/input/ext_data/megaage_asian/train/256.jpg
0,22,/opt/ml/input/ext_data/megaage_asian/train/257.jpg
0,26,/opt/ml/input/ext_data/megaage_asian/train/260.jpg
0,26,/opt/ml/input/ext_data/megaage_asian/train/261.jpg
0,22,/opt/ml/input/ext_data/megaage_asian/train/262.jpg
1,33,/opt/ml/input/ext_data/megaage_asian/train/264.jpg
1,30,/opt/ml/input/ext_data/megaage_asian/train/266.jpg
0,19,/opt/ml/input/ext_data/megaage_asian/train/273.jpg
0,18,/opt/ml/input/ext_data/megaage_asian/train/275.jpg
1,40,/opt/ml/input/ext_data/megaage_asian/train/278.jpg
0,18,/opt/ml/input/ext_data/megaage_asian/train/280.jpg
0,25,/opt/ml/input/ext_data/megaage_asian/train/281.jpg
1,32,/opt/ml/input/ext_data/megaage_asian/train/282.jpg
0,27,/opt/ml/input/ext_data/megaage_asian/train/283.jpg
0,21,/opt/ml/input/ext_data/megaage_asian/train/284.jpg
0,27,/opt/ml/input/ext_data/megaage_asian/train/285.jpg
1,32,/opt/ml/input/ext_data/megaage_asian/train/287.jpg
0,20,/opt/ml/input/ext_data/megaage_asian/train/288.jpg
0,21,/opt/ml/input/ext_data/megaage_asian/train/289.jpg
0,20,/opt/ml/input/ext_data/megaage_asian/train/290.jpg
0,18,/opt/ml/input/ext_data/megaage_asian/train/292.jpg
0,22,/opt/ml/input/ext_data/megaage_asian/train/293.jpg
1,48,/opt/ml/input/ext_data/megaage_asian/train/298.jpg
1,58,/opt/ml/input/ext_data/megaage_asian/train/299.jpg
0,28,/opt/ml/input/ext_data/megaage_asian/train/300.jpg
0,21,/opt/ml/input/ext_data/megaage_asian/train/302.jpg
0,21,/opt/ml/input/ext_data/megaage_asian/train/305.jpg
0,27,/opt/ml/input/ext_data/megaage_asian/train/306.jpg
0,22,/opt/ml/input/ext_data/megaage_asian/train/307.jpg
0,22,/opt/ml/input/ext_data/megaage_asian/train/309.jpg
1,50,/opt/ml/input/ext_data/megaage_asian/train/311.jpg
0,22,/opt/ml/input/ext_data/megaage_asian/train/312.jpg
0,23,/opt/ml/input/ext_data/megaage_asian/train/313.jpg
2,65,/opt/ml/input/ext_data/megaage_asian/train/314.jpg
1,41,/opt/ml/input/ext_data/megaage_asian/train/315.jpg
0,24,/opt/ml/input/ext_data/megaage_asian/train/316.jpg
1,34,/opt/ml/input/ext_data/megaage_asian/train/321.jpg
0,21,/opt/ml/input/ext_data/megaage_asian/train/322.jpg
0,23,/opt/ml/input/ext_data/megaage_asian/train/323.jpg
1,34,/opt/ml/input/ext_data/megaage_asian/train/324.jpg
0,24,/opt/ml/input/ext_data/megaage_asian/train/327.jpg
1,33,/opt/ml/input/ext_data/megaage_asian/train/329.jpg
1,35,/opt/ml/input/ext_data/megaage_asian/train/330.jpg
0,29,/opt/ml/input/ext_data/megaage_asian/train/331.jpg
0,20,/opt/ml/input/ext_data/megaage_asian/train/333.jpg
0,27,/opt/ml/input/ext_data/megaage_asian/train/334.jpg
0,23,/opt/ml/input/ext_data/megaage_asian/train/336.jpg
0,25,/opt/ml/input/ext_data/megaage_asian/train/337.jpg
1,34,/opt/ml/input/ext_data/megaage_asian/train/338.jpg
0,29,/opt/ml/input/ext_data/megaage_asian/train/339.jpg
