id,gender,race,age,path
001508,male,Asian,18,001508_male_Asian_18
006224,male,Asian,20,006224_male_Asian_20
003370,female,Asian,19,003370_female_Asian_19
000067,female,Asian,54,000067_female_Asian_54
003460,female,Asian,54,003460_female_Asian_54
006087,male,Asian,18,006087_male_Asian_18
001714,female,Asian,35,001714_female_Asian_35
001626,female,Asian,58,001626_female_Asian_58
005490,female,Asian,42,005490_female_Asian_42
001390,male,Asian,56,001390_male_Asian_56
000025,female,Asian,49,000025_female_Asian_49
005045,male,Asian,60,005045_male_Asian_60
004324,female,Asian,60,004324_female_Asian_60
001630-1,female,Asian,34,001630-1_female_Asian_34
003285,female,Asian,20,003285_female_Asian_20
006401,female,Asian,18,006401_female_Asian_18
005137,male,Asian,29,005137_male_Asian_29
001843,male,Asian,19,001843_male_Asian_19
001133,male,Asian,56,001133_male_Asian_56
004079,male,Asian,53,004079_male_Asian_53
001799,female,Asian,25,001799_female_Asian_25
006382,male,Asian,19,006382_male_Asian_19
000302,female,Asian,56,000302_female_Asian_56
001101,male,Asian,60,001101_male_Asian_60
001788,male,Asian,28,001788_male_Asian_28
001548,female,Asian,24,001548_female_Asian_24
001558,female,Asian,57,001558_female_Asian_57
003576,female,Asian,56,003576_female_Asian_56
005238,male,Asian,25,005238_male_Asian_25
000038,female,Asian,58,000038_female_Asian_58
004357,male,Asian,60,004357_male_Asian_60
006367,male,Asian,19,006367_male_Asian_19
001326,male,Asian,25,001326_male_Asian_25
006379,male,Asian,19,006379_male_Asian_19
005502,female,Asian,49,005502_female_Asian_49
005516,female,Asian,52,005516_female_Asian_52
000773,female,Asian,57,000773_female_Asian_57
000535,female,Asian,50,000535_female_Asian_50
001140,female,Asian,22,001140_female_Asian_22
003042,female,Asian,20,003042_female_Asian_20
005444,male,Asian,25,005444_male_Asian_25
006407,female,Asian,18,006407_female_Asian_18
004287,female,Asian,60,004287_female_Asian_60
004257,female,Asian,57,004257_female_Asian_57
005234,male,Asian,22,005234_male_Asian_22
001114,male,Asian,26,001114_male_Asian_26
003847,male,Asian,58,003847_male_Asian_58
006504,female,Asian,20,006504_female_Asian_20
005090,female,Asian,55,005090_female_Asian_55
005440,female,Asian,50,005440_female_Asian_50
